label,case,toy,variant,group,seed,epoch,time_to_ceiling,final_within_ceiling,action_rate,mean_policy_action_probability_post_local,mean_policy_action_probability_post_social,policy_action_probability_post_social_gt_0p7_rate,domain_revision_advantage_mean,domain_revision_advantage_positive_rate,revision_pressure_proxy,revision_pressure_active,social_revision_pressure_proxy,policy_readiness_proxy,pressure_policy_gap,pressure_action_gap,realized_revision_rate,precommitment_rate,precommitment_mean_evidence,commitment_rate
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,30,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,31,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,32,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,33,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,34,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,35,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,36,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,37,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,38,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,39,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,40,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,41,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,42,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,43,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,44,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,45,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,46,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,47,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,48,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,49,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,50,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,0,3,True,0.51,0.51,0.51,0.51,,,,False,0.0,0.51,,,0.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,1,3,True,0.95,0.96,0.96,0.96,,,,False,0.0,0.96,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,2,3,True,0.98,0.98,0.98,0.98,,,,False,0.0,0.98,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,3,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,4,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,5,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,6,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,7,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,8,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,9,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,10,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,11,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,12,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,13,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,14,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,15,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,16,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,17,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,18,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,19,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,20,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,21,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,22,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,23,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,24,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
