label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,none,none,1,0.5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101457_133397_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_none_p0p5_a0p0_seed01,0.0,1.0,0.0,0,0.0,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,none,none,2,0.5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101457_450204_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_none_p0p5_a0p0_seed02,0.0,1.0,0.0,0,0.0,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,none,none,3,0.5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101457_744227_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_none_p0p5_a0p0_seed03,0.0,1.0,0.0,0,0.0,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,none,none,4,0.5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101458_036556_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_none_p0p5_a0p0_seed04,0.0,1.0,0.0,0,0.0,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,none,none,5,0.5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101458_332292_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_none_p0p5_a0p0_seed05,0.0,1.0,0.0,0,0.0,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,1,0.5,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101458_634779_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p5_a0p25_seed01,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,2,0.5,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101458_973588_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p5_a0p25_seed02,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,3,0.5,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101459_325419_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p5_a0p25_seed03,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,4,0.5,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101459_684280_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p5_a0p25_seed04,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,5,0.5,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101500_032361_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p5_a0p25_seed05,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,rd_well_mixed,none,none,1,0.5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101500_387171_toy2_basin_sweep_seeds01_05_soft_pd_rd_well_mixed_p0p5_reference_seed01,0.00040013482121261474,1.0007632991419761,0.00040013482121261474,0,0.0,0
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,1,0.7,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101500_441607_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p7_a0p0_seed01,0.29,1.4860000000000002,0.31605663895606995,18,0.07,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,2,0.7,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101504_025325_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p7_a0p0_seed02,0.33,1.5780000000000003,0.35992100834846497,13,0.13,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,3,0.7,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101507_743104_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p7_a0p0_seed03,0.36,1.636,0.28158894181251526,8,0.22,100
