label,threshold_group_fraction,coordination_gate_mode,environment_threshold,benefit,action_cost,payoff_learning_rate,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seeds,final_action_rate_mean,final_action_rate_std,final_mean_payoff_mean,final_mean_payoff_std,final_group_action_rate_gap_mean,final_group_action_rate_gap_std,final_fragmentation_components_mean
toy9_heterogeneous_sensitivity_seeds01_05,0.5,gated,0.55,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.11400000000000002,0.025099800796022264,0.23266285714285712,0.00909955166814412,0.156,0.06228964600958974,2.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,gated,0.55,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.022000000000000002,0.01643167672515498,0.27782642857142853,0.015415930171780896,0.036,0.026076809620810597,2.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,gated,0.55,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.028000000000000004,0.0204939015319192,0.2738071428571428,0.016586220307280165,0.032,0.017888543819998316,2.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_disabled,0.35,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.8119999999999999,0.08700574693662487,0.6741564285714284,0.07696268105718636,0.8119999999999999,0.08700574693662487,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_disabled,0.35,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.8119999999999999,0.08700574693662487,0.6741564285714284,0.07696268105718636,0.8119999999999999,0.08700574693662487,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_disabled,0.35,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.724,0.081117199162693,0.4194921428571428,0.04686492874120659,0.724,0.081117199162693,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_disabled,0.35,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.724,0.081117199162693,0.4194921428571428,0.04686492874120659,0.724,0.081117199162693,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_disabled,0.55,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.036,0.005477225575051662,0.27104214285714284,0.004166034611924797,0.036,0.005477225575051662,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_disabled,0.55,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.036,0.005477225575051662,0.27104214285714284,0.004166034611924797,0.036,0.005477225575051662,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_disabled,0.55,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.014000000000000002,0.013416407864998738,0.2851892857142857,0.014235805452722195,0.014000000000000002,0.013416407864998738,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_disabled,0.55,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.014000000000000002,0.013416407864998738,0.2851892857142857,0.014235805452722195,0.014000000000000002,0.013416407864998738,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_enabled,0.35,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.8119999999999999,0.08700574693662487,0.6741564285714284,0.07696268105718636,0.8119999999999999,0.08700574693662487,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_enabled,0.35,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.834,0.06107372593840989,0.6843642857142858,0.0663435685024001,0.834,0.06107372593840989,1.0
toy9_heterogeneous_sensitivity_seeds01_05,0.75,all_enabled,0.35,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.724,0.081117199162693,0.4194921428571428,0.04686492874120659,0.724,0.081117199162693,1.0
