condition,update_rule,policy_prior_mode,learning_enabled,p0,revision_rate,epoch,seeds,cooperation_mean,policy_pre_mean,policy_post_social_mean,revised_local_loss_mean
neural_default_learn,neural_policy,default,True,0.3,0.1,25,3,0.47,0.4826688071091969,0.48118231693903607,0.019814070285598135
neural_default_learn,neural_policy,default,True,0.3,0.1,50,3,0.5266666666666667,0.4556066195170085,0.4549229045708974,-0.012682948405774797
neural_default_learn,neural_policy,default,True,0.5,0.1,0,3,0.48333333333333334,0.501064270734787,0.501064270734787,0.0
neural_default_learn,neural_policy,default,True,0.5,0.1,1,3,0.48666666666666664,0.501064270734787,0.500912606716156,0.39170512364798293
neural_default_learn,neural_policy,default,True,0.5,0.1,5,3,0.48333333333333334,0.5015697379906973,0.5009864866733551,0.21639092911624622
neural_default_learn,neural_policy,default,True,0.5,0.1,10,3,0.49666666666666665,0.501420239607493,0.500658373037974,0.1350180525191579
neural_default_learn,neural_policy,default,True,0.5,0.1,25,3,0.4766666666666666,0.4890649616718292,0.48764220873514813,0.018538410641464498
neural_default_learn,neural_policy,default,True,0.5,0.1,50,3,0.5266666666666667,0.46637781461079914,0.46576250592867535,-0.020430083506995333
neural_default_learn,neural_policy,default,True,0.6,0.1,0,3,0.5866666666666666,0.501155823469162,0.501155823469162,0.0
neural_default_learn,neural_policy,default,True,0.6,0.1,1,3,0.58,0.501155823469162,0.5009754300117493,0.45291533951377455
neural_default_learn,neural_policy,default,True,0.6,0.1,5,3,0.5499999999999999,0.5015658140182495,0.5009525020917257,0.23200849170228377
neural_default_learn,neural_policy,default,True,0.6,0.1,10,3,0.54,0.5015663504600525,0.5008037388324738,0.1387471644927493
neural_default_learn,neural_policy,default,True,0.6,0.1,25,3,0.48333333333333334,0.49049683411916095,0.48943061629931134,0.019503488189595363
neural_default_learn,neural_policy,default,True,0.6,0.1,50,3,0.5266666666666667,0.4692390561103821,0.4686502118905385,-0.022975290914535765
neural_default_learn,neural_policy,default,True,0.7,0.1,0,3,0.71,0.5011892716089884,0.5011892716089884,0.0
neural_default_learn,neural_policy,default,True,0.7,0.1,1,3,0.69,0.5011892716089884,0.5009703636169434,0.47616779747463406
neural_default_learn,neural_policy,default,True,0.7,0.1,5,3,0.6366666666666667,0.5031261046727499,0.5026383300622305,0.2657727704800007
neural_default_learn,neural_policy,default,True,0.7,0.1,10,3,0.6,0.5039762159188589,0.5032799243927002,0.1519416629741288
neural_default_learn,neural_policy,default,True,0.7,0.1,25,3,0.5066666666666667,0.494170476992925,0.49323415756225586,0.0007398160569576003
neural_default_learn,neural_policy,default,True,0.7,0.1,50,3,0.5333333333333333,0.47701883316040034,0.4765927493572235,-0.022822939177366105
neural_default_learn,neural_policy,default,True,0.9,0.1,0,3,0.9266666666666667,0.5007017453511556,0.5007017453511556,0.0
neural_default_learn,neural_policy,default,True,0.9,0.1,1,3,0.89,0.5007017453511556,0.5004277328650156,0.5359417652154898
neural_default_learn,neural_policy,default,True,0.9,0.1,5,3,0.7466666666666667,0.5025989909966787,0.5021183590094248,0.2625686280826606
neural_default_learn,neural_policy,default,True,0.9,0.1,10,3,0.6699999999999999,0.5041746397813162,0.5037949581940969,0.1338854734456599
neural_default_learn,neural_policy,default,True,0.9,0.1,25,3,0.5166666666666666,0.49788085619608563,0.4971591830253601,-0.0103284610783333
neural_default_learn,neural_policy,default,True,0.9,0.1,50,3,0.5433333333333333,0.4842648208141327,0.48394251863161714,-0.005821851119956302
neural_default_no_learn,neural_policy,default,False,0.1,0.1,0,3,0.09000000000000001,0.5015561381975809,0.5015561381975809,0.0
neural_default_no_learn,neural_policy,default,False,0.1,0.1,1,3,0.11333333333333334,0.5015561381975809,0.5015561381975809,0.0
neural_default_no_learn,neural_policy,default,False,0.1,0.1,5,3,0.26333333333333336,0.502242922782898,0.502242922782898,0.0
neural_default_no_learn,neural_policy,default,False,0.1,0.1,10,3,0.35000000000000003,0.5025152762730917,0.5025152762730917,0.0
neural_default_no_learn,neural_policy,default,False,0.1,0.1,25,3,0.45999999999999996,0.5024693409601847,0.5024693409601847,0.0
neural_default_no_learn,neural_policy,default,False,0.1,0.1,50,3,0.5433333333333333,0.5018094480037689,0.5018094480037689,0.0
