label,game_family,update_rule,mixer,peer_rule,policy_prior_mode,local_update_rule,neural_peer_mode,interaction_mode,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,p0_count,cooperation_slope,policy_cooperation_slope
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,2,5,0.9360000000000008,1.1049911022186283
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,3,5,1.0240000000000005,1.1597257137298587
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,4,5,1.0640000000000003,1.214303755760194
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,5,5,1.1280000000000003,1.2702533245086682
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,6,5,1.2960000000000003,1.3207109451293946
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,7,5,1.272000000000001,1.3776817083358766
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,8,5,1.2480000000000004,1.4398745536804205
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,9,5,1.308,1.499227452278138
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,10,5,1.3160000000000005,1.5593667864799512
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,11,5,1.3519999999999992,1.6223563671112067
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,12,5,1.4120000000000006,1.689781737327576
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,13,5,1.448000000000001,1.7581863760948195
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,14,5,1.3720000000000006,1.8257559061050423
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,15,5,1.516,1.8994760394096382
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,16,5,1.640000000000001,1.9651355385780351
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,17,5,1.672000000000001,2.0404929161071785
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,18,5,1.6680000000000008,2.1097621798515327
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,neural_policy,none,none,match_p0,counterfactual_advantage,well_mixed,spatial,0.25,1.0,1.0,linear,True,19,5,1.848000000000001,2.1857323765754715
