label,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,seeds,cooperation_mean,cooperation_std,policy_cooperation_mean,policy_cooperation_std,payoff_mean,payoff_std,local_loss_mean,revised_local_loss_mean,social_loss_mean,realized_revision_rate_mean
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,4,5,0.544,0.03286335345030996,0.5427160918712616,0.03367153085000403,2.284,0.1237765123115043,0.0,0.0,0.0,0.27
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,5,5,0.522,0.024899799195977464,0.530860185623169,0.022358471270136394,2.3625,0.12987975207860533,0.0,0.0,0.0,0.26
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,6,5,0.508,0.0311448230047949,0.5177191913127899,0.03176621692494874,2.239,0.09071934744033389,0.0,0.0,0.0,0.252
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,7,5,0.508,0.04147288270665543,0.5092567086219788,0.03301412449648923,2.275,0.08817596044274201,0.0,0.0,0.0,0.23399999999999999
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,8,5,0.49800000000000005,0.049699094559156734,0.5098789930343628,0.03995124870949701,2.2125,0.08958236433584439,0.0,0.0,0.0,0.21400000000000002
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,9,5,0.48600000000000004,0.060249481325568295,0.4929767668247223,0.06628120883219268,2.162,0.10871982339941522,0.0,0.0,0.0,0.252
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,10,5,0.506,0.0594138031100518,0.4919125258922577,0.06233959235275456,2.2845,0.18172265956671438,0.0,0.0,0.0,0.25
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,11,5,0.49000000000000005,0.05656854249492384,0.4986471116542816,0.05389792959097553,2.2165,0.15020402790870827,0.0,0.0,0.0,0.27
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,12,5,0.49000000000000005,0.06000000000000002,0.48385206460952757,0.06671922634729076,2.2634999999999996,0.08792041856133324,0.0,0.0,0.0,0.274
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,1.0,1.0,linear,True,13,5,0.47800000000000004,0.07293833011524191,0.48514204621315005,0.06779292459396809,2.1915,0.18882531609929856,0.0,0.0,0.0,0.294
