condition,update_rule,policy_prior_mode,local_update_rule,learning_enabled,p0,revision_rate,epoch,seeds,cooperation_mean,policy_post_social_mean,local_loss_mean,revised_local_loss_mean
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.9,0.1,25,3,0.9700000000000001,0.9850137035051981,0.010721324945449534,0.031373323401886935
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.9,0.1,50,3,0.9833333333333334,0.9948127468427023,0.002532555773648,0.0014118282885555668
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,0.1,0,3,0.09000000000000001,0.1000000014901161,0.0,0.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,0.1,1,3,0.09999999999999999,0.09976887454589205,0.0127251922835906,0.21917224659935217
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,0.1,5,3,0.09333333333333334,0.0974816555778185,0.0035066862342258,0.037586637985265965
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,0.1,10,3,0.08666666666666667,0.09503966818253194,-0.0009571481216698333,-0.010811629347653666
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,0.1,25,3,0.10333333333333333,0.0866011629501978,-0.0092890869375939,-0.0699497090500989
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,0.1,50,3,0.13,0.07769192506869631,-0.030383846222733397,-0.30334531258927006
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.3,0.1,0,3,0.3133333333333333,0.3000000119209289,0.0,0.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.3,0.1,1,3,0.31,0.2994683583577474,0.019373014457523766,0.28388666403822566
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.3,0.1,5,3,0.31666666666666665,0.2976485590140025,0.013099728121111731,0.14199506501505343
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.3,0.1,10,3,0.32666666666666666,0.2939816315968831,0.0059857024873296,0.06658897449196584
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.3,0.1,25,3,0.29000000000000004,0.2777221500873565,-0.006273671857391767,-0.0435815584063769
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.3,0.1,50,3,0.3233333333333333,0.25257204473018646,-0.015678138108924,-0.15126279946744964
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.5,0.1,0,3,0.48333333333333334,0.5,0.0,0.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.5,0.1,1,3,0.49333333333333335,0.5001220007737478,0.0306602096060911,0.40595619045036696
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.5,0.1,5,3,0.49333333333333335,0.5008253256479899,0.02183742215236023,0.2268700340583065
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.5,0.1,10,3,0.5033333333333333,0.5007322033246359,0.013843012105983933,0.15000382853634278
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.5,0.1,25,3,0.49,0.49049946665763855,0.0031094297269980004,0.0310600361984646
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.5,0.1,50,3,0.54,0.475047081708908,-0.0018417435892236669,-0.022865532905870265
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.6,0.1,0,3,0.5866666666666666,0.6000000238418579,0.0,0.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.6,0.1,1,3,0.59,0.6001735726992289,0.03408907386163867,0.4458789910008381
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.6,0.1,5,3,0.5866666666666667,0.6012240648269653,0.024909885594000366,0.2582040329235971
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.6,0.1,10,3,0.6,0.6018965641657511,0.0160633134686698,0.17282575719773466
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.6,0.1,25,3,0.58,0.5973867774009705,0.006013736679839533,0.058162171762920996
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.6,0.1,50,3,0.6366666666666667,0.5883194406827291,0.0009556369716301667,0.006494805339174567
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.7,0.1,0,3,0.71,0.6999998688697815,0.0,0.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.7,0.1,1,3,0.7066666666666667,0.7003140449523926,0.03461736669143037,0.44237017670235074
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.7,0.1,5,3,0.71,0.7027931412061056,0.0246718771817783,0.2590606980470013
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.7,0.1,10,3,0.7133333333333333,0.7049737771352133,0.017064649173989865,0.1857327198976594
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.7,0.1,25,3,0.69,0.7071737249692281,0.0043056136804322,0.03484283960270847
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.7,0.1,50,3,0.7400000000000001,0.7110649545987447,0.0028519340418279005,0.021578096442370336
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.9,0.1,0,3,0.9266666666666667,0.8999999165534973,0.0,0.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.9,0.1,1,3,0.9199999999999999,0.9003097216288248,0.028442948174973268,0.4008004853832516
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.9,0.1,5,3,0.9199999999999999,0.9027644793192545,0.014813384935259766,0.17891914116982088
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.9,0.1,10,3,0.9333333333333332,0.9053201874097189,0.007136462740600033,0.07011792808771129
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.9,0.1,25,3,0.8833333333333333,0.9126818180084229,0.0002441451748988333,0.0034746502926627995
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.9,0.1,50,3,0.9166666666666666,0.9214454293251038,-0.0026836997744006,-0.0247170758422695
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,0.1,0,1,0.1,0.1,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,0.1,1,1,0.06175,0.06175,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,0.1,5,1,0.0051737998930601,0.0051737998930601,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,0.1,10,1,0.0001657906774698,0.0001657906774698,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,0.1,25,1,5.063725978986822e-09,5.063725978986822e-09,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,0.1,50,1,1.5091079792956772e-16,1.5091079792956772e-16,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.3,0.1,0,1,0.3,0.3,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.3,0.1,1,1,0.24225,0.24225,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.3,0.1,5,1,0.0504271921278341,0.0504271921278341,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.3,0.1,10,1,0.0020206823510746,0.0020206823510746,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.3,0.1,25,1,6.229306622827476e-08,6.229306622827476e-08,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.3,0.1,50,1,1.856478620481736e-15,1.856478620481736e-15,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.5,0.1,0,1,0.5,0.5,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.5,0.1,1,1,0.46875,0.46875,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.5,0.1,5,1,0.28394466470663,0.28394466470663,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.5,0.1,10,1,0.0430736239698218,0.0430736239698218,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.5,0.1,25,1,1.638091758040356e-06,1.638091758040356e-06,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.5,0.1,50,1,4.8819338525160034e-14,4.8819338525160034e-14,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.6,0.1,0,1,0.6,0.6,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.6,0.1,1,1,0.588,0.588,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.6,0.1,5,1,0.5119773189961458,0.5119773189961458,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.6,0.1,10,1,0.3084435010075382,0.3084435010075382,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.6,0.1,25,1,7.081666743301555e-05,7.081666743301555e-05,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.6,0.1,50,1,2.111248601795015e-12,2.111248601795015e-12,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.7,0.1,0,1,0.7,0.7,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.7,0.1,1,1,0.7052499999999999,0.7052499999999999,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.7,0.1,5,1,0.7347935492395711,0.7347935492395711,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.7,0.1,10,1,0.796522645388869,0.796522645388869,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.7,0.1,25,1,0.9863817222747112,0.9863817222747112,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.7,0.1,50,1,0.9999889636644054,0.9999889636644054,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.9,0.1,0,1,0.9,0.9,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.9,0.1,1,1,0.91575,0.91575,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.9,0.1,5,1,0.9635744348790564,0.9635744348790564,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.9,0.1,10,1,0.989945315196972,0.989945315196972,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.9,0.1,25,1,0.999858224426092,0.999858224426092,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.9,0.1,50,1,0.9999998932270588,0.9999998932270588,0.0,0.0
