label,strategy_count,initial_distribution,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,payoff_profile,win_payoff,loss_payoff,draw_payoff,seed,epochs,run_dir,domain_final_mean_payoff,domain_final_strategy_entropy,domain_final_dominant_strategy,domain_final_dominant_strategy_fraction,final_fragmentation_components
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.0,baseline,1.0,-1.0,0.0,3,25,experiments/runs/20260511_170427_451418_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0p5_t0_seed03,0.0,0.8906277929800746,0,0.57,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.8,baseline,1.0,-1.0,0.0,1,25,experiments/runs/20260511_170429_963038_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0p5_t0p8_seed01,0.0,0.8479472121391743,0,0.58,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.8,baseline,1.0,-1.0,0.0,2,25,experiments/runs/20260511_170432_500231_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0p5_t0p8_seed02,0.0,0.9372305632161295,0,0.5,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.8,baseline,1.0,-1.0,0.0,3,25,experiments/runs/20260511_170435_056954_toy6_categorical_sensitivity_seeds01_03_k3_biased_baseline_output_average_output_similarity_a0p5_t0p8_seed03,0.0,0.8906277929800746,0,0.57,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.0,win_bonus,1.5,-1.0,0.0,1,25,experiments/runs/20260511_170437_567239_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0_t0_seed01,0.14875,0.8445445258431481,0,0.57,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.0,win_bonus,1.5,-1.0,0.0,2,25,experiments/runs/20260511_170440_056365_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0_t0_seed02,0.14,0.9508756857348937,0,0.44,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.0,win_bonus,1.5,-1.0,0.0,3,25,experiments/runs/20260511_170442_557337_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0_t0_seed03,0.14875,0.9321430670051473,0,0.49,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.8,win_bonus,1.5,-1.0,0.0,1,25,experiments/runs/20260511_170445_063943_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0_t0p8_seed01,0.14875,0.8445445258431481,0,0.57,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.8,win_bonus,1.5,-1.0,0.0,2,25,experiments/runs/20260511_170447_560440_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0_t0p8_seed02,0.14,0.9508756857348937,0,0.44,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.8,win_bonus,1.5,-1.0,0.0,3,25,experiments/runs/20260511_170450_065541_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0_t0p8_seed03,0.14875,0.9321430670051473,0,0.49,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.0,win_bonus,1.5,-1.0,0.0,1,25,experiments/runs/20260511_170452_603847_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0p5_t0_seed01,0.14125,0.8639086333199179,0,0.55,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.0,win_bonus,1.5,-1.0,0.0,2,25,experiments/runs/20260511_170455_146753_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0p5_t0_seed02,0.1425,0.9600021343440299,0,0.41,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.0,win_bonus,1.5,-1.0,0.0,3,25,experiments/runs/20260511_170457_712677_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0p5_t0_seed03,0.14875,0.937272735429432,0,0.49,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.8,win_bonus,1.5,-1.0,0.0,1,25,experiments/runs/20260511_170500_235965_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0p5_t0p8_seed01,0.14125,0.8639086333199179,0,0.55,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.8,win_bonus,1.5,-1.0,0.0,2,25,experiments/runs/20260511_170502_716071_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0p5_t0p8_seed02,0.1425,0.9600021343440299,0,0.41,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.8,win_bonus,1.5,-1.0,0.0,3,25,experiments/runs/20260511_170505_229334_toy6_categorical_sensitivity_seeds01_03_k3_biased_win_bonus_output_average_output_similarity_a0p5_t0p8_seed03,0.14875,0.937272735429432,0,0.49,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.0,loss_heavy,1.0,-1.5,0.0,1,25,experiments/runs/20260511_170507_710132_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0_t0_seed01,-0.15125,0.8342569696268312,0,0.57,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.0,loss_heavy,1.0,-1.5,0.0,2,25,experiments/runs/20260511_170510_203915_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0_t0_seed02,-0.1325,0.9440954188039138,0,0.47,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.0,loss_heavy,1.0,-1.5,0.0,3,25,experiments/runs/20260511_170512_673199_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0_t0_seed03,-0.14625,0.898538457077634,0,0.54,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.8,loss_heavy,1.0,-1.5,0.0,1,25,experiments/runs/20260511_170515_155799_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0_t0p8_seed01,-0.15125,0.8342569696268312,0,0.57,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.8,loss_heavy,1.0,-1.5,0.0,2,25,experiments/runs/20260511_170517_629721_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0_t0p8_seed02,-0.1325,0.9440954188039138,0,0.47,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.0,0.8,loss_heavy,1.0,-1.5,0.0,3,25,experiments/runs/20260511_170520_127007_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0_t0p8_seed03,-0.14625,0.898538457077634,0,0.54,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.0,loss_heavy,1.0,-1.5,0.0,1,25,experiments/runs/20260511_170522_637242_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0p5_t0_seed01,-0.14125,0.8590373164768424,0,0.56,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.0,loss_heavy,1.0,-1.5,0.0,2,25,experiments/runs/20260511_170525_123735_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0p5_t0_seed02,-0.14125,0.9468125623291904,0,0.46,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.0,loss_heavy,1.0,-1.5,0.0,3,25,experiments/runs/20260511_170527_649749_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0p5_t0_seed03,-0.1425,0.9179351198932744,0,0.53,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.8,loss_heavy,1.0,-1.5,0.0,1,25,experiments/runs/20260511_170530_165873_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0p5_t0p8_seed01,-0.14125,0.8590373164768424,0,0.56,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.8,loss_heavy,1.0,-1.5,0.0,2,25,experiments/runs/20260511_170532_678708_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0p5_t0p8_seed02,-0.14125,0.9468125623291904,0,0.46,1
toy6_categorical_sensitivity_seeds01_03,3,biased,output_average,output_similarity,0.5,0.8,loss_heavy,1.0,-1.5,0.0,3,25,experiments/runs/20260511_170535_247157_toy6_categorical_sensitivity_seeds01_03_k3_biased_loss_heavy_output_average_output_similarity_a0p5_t0p8_seed03,-0.1425,0.9179351198932744,0,0.53,1
