toy,scenario,training_backend,device,agent_count,epochs,seed,repeat_index,warmup_runs,repeats,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,social_step,4.595797508955002e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,sample_actions,8.720671758055687e-07
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,commit_actions,4.478497430682182e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,post_step_state_policy,1.4026998542249203e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,update_reputation_ema,2.6018940843641758e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,finalize_hook_step,2.525048330426216e-06
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,hooked_step_total,0.5894102350575849
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,aggregate_row,0.00686274201143533
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,1,neural_policy,none,write_aggregate,4.5616994611918926e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,sample_revision_mask,1.0759918950498104e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,build_step_context,0.002676515025086701
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,build_observations,0.003977542044594884
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,policy_readout,0.0004621960688382387
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,decision_selection,0.0007624260615557432
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,local_training,0.48357643792405725
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,cache_refresh,0.03079142002388835
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,post_local_readout,0.0031526369275525212
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,local_step,0.5233554570004344
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,select_peers,0.0016982799861580133
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,social_step,6.28690468147397e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,sample_actions,1.8439022824168205e-06
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,commit_actions,8.346792310476303e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,post_step_state_policy,2.7572037652134895e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,update_reputation_ema,5.019502714276314e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,finalize_hook_step,7.404014468193054e-06
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,hooked_step_total,0.529597972985357
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,aggregate_row,0.016266862046904862
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,2,neural_policy,none,write_aggregate,0.00010518904309719801
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,sample_revision_mask,3.315298818051815e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,build_step_context,0.003136515966616571
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,build_observations,0.004487427999265492
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,policy_readout,0.002902523032389581
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,decision_selection,0.0007424979703500867
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,local_training,0.5534916359465569
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,cache_refresh,0.023582873051054776
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,post_local_readout,0.0017754359869286418
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,local_step,0.5880611889297143
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,select_peers,0.0013218959793448448
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,social_step,5.764898378401995e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,sample_actions,1.393025740981102e-06
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,commit_actions,7.764704059809446e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,post_step_state_policy,2.858403604477644e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,update_reputation_ema,5.3190975449979305e-05
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,finalize_hook_step,6.712973117828369e-06
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,hooked_step_total,0.5941653919871897
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,aggregate_row,0.013155463035218418
toy5,neural_none,loop,cpu,1024,3,4,1,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat01,3,neural_policy,none,write_aggregate,8.14039958640933e-05
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,0,neural_policy,none,make_run_dir,0.0003957810113206506
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,0,neural_policy,none,write_metadata,0.0027118019061163068
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,0,neural_policy,none,initial_state,1.2633370319381356
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,0,neural_policy,none,writer_setup,0.007604468031786382
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,0,neural_policy,none,initial_step_result,0.012519155978225172
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,0,neural_policy,none,initial_aggregate_row,0.01657011709176004
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,0,neural_policy,none,write_initial_aggregate,0.00023230002261698246
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,1,neural_policy,none,sample_revision_mask,0.00019823596812784672
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,1,neural_policy,none,build_step_context,0.0033288609702140093
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,1,neural_policy,none,build_observations,0.005684377043507993
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,1,neural_policy,none,policy_readout,0.01290439604781568
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,1,neural_policy,none,decision_selection,0.002332132076844573
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,1,neural_policy,none,local_training,3.0263301780214533
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,1,neural_policy,none,cache_refresh,0.21506880898959935
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,1,neural_policy,none,post_local_readout,0.018091161036863923
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,1,neural_policy,none,local_step,3.28540729789529
toy5,neural_none,loop,cpu,1024,3,4,2,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat02,1,neural_policy,none,select_peers,0.005992952035740018
