label,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,seeds,cooperation_mean,cooperation_std,policy_cooperation_mean,policy_cooperation_std,payoff_mean,payoff_std,local_loss_mean,revised_local_loss_mean,social_loss_mean,realized_revision_rate_mean
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,37,3,0.4566666666666667,0.11060440015358039,0.4599167803923289,0.11324378706342005,2.4133333333333336,0.2354428451521375,0.0,0.0,0.0,0.09000000000000001
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,38,3,0.46,0.10816653826391968,0.45766350626945496,0.1088767142192763,2.42,0.22912878474779202,0.0,0.0,0.0,0.09999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,39,3,0.4633333333333334,0.11239810200058245,0.4627372721831004,0.10075284869231207,2.421666666666667,0.23131868349386178,0.0,0.0,0.0,0.10333333333333333
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,40,3,0.4633333333333334,0.11239810200058245,0.46292222539583844,0.11812394510112914,2.4116666666666666,0.24770614310778283,0.0,0.0,0.0,0.07333333333333333
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,41,3,0.4633333333333333,0.12220201853215573,0.45907242099444073,0.12094894486017449,2.4216666666666664,0.26083200212652846,0.0,0.0,0.0,0.08333333333333333
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,42,3,0.45999999999999996,0.12124355652982137,0.46146151423454285,0.11967375339193236,2.4149999999999996,0.25865034312755125,0.0,0.0,0.0,0.07
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,43,3,0.45,0.12124355652982143,0.45616550246874493,0.1306765020441286,2.4,0.250549396327351,0.0,0.0,0.0,0.09999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,44,3,0.4366666666666667,0.12662279942148388,0.43795039256413776,0.12669977949029534,2.3783333333333334,0.25324559884296755,0.0,0.0,0.0,0.11666666666666665
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,45,3,0.42333333333333334,0.14189197769195175,0.42669490973154706,0.13835498558929782,2.3716666666666666,0.266567689965107,0.0,0.0,0.0,0.09333333333333334
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,46,3,0.42333333333333334,0.13203534880225573,0.4216017524401347,0.1387676311966129,2.3716666666666666,0.2600160251471692,0.0,0.0,0.0,0.08666666666666667
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,47,3,0.41333333333333333,0.13576941236277534,0.41825543840726215,0.13539023839217582,2.3516666666666666,0.26392865197498605,0.0,0.0,0.0,0.09666666666666666
