label,recovery_rate,extraction_cost,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,initial_intensity_mean,initial_intensity_std,exploration_std,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_mean_intensity,domain_final_intensity_variance,domain_final_mean_payoff,final_fragmentation_components
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.2,0.02,2,50,experiments/runs/20260511_170605_056831_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p2_e0p02_seed02,0.30483661877859397,30.483661877859397,0.4359488229872666,0.0004405274586681211,0.06627502749886308,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.2,0.02,3,50,experiments/runs/20260511_170605_173874_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p2_e0p02_seed03,0.30511431560838154,30.51143156083815,0.4356443162001208,0.0003162252769767504,0.0664347359858095,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.2,0.02,4,50,experiments/runs/20260511_170605_294723_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p2_e0p02_seed04,0.3057209770093092,30.57209770093092,0.4349101836396997,0.0004003994357453659,0.0666557264539933,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.2,0.02,5,50,experiments/runs/20260511_170605_414428_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p2_e0p02_seed05,0.3044640657143976,30.446406571439763,0.4337527823964832,0.0004947585276387025,0.06600449111930233,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.2,0.02,1,50,experiments/runs/20260511_170605_532591_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0_i0p2_e0p02_seed01,0.3056675802325602,30.56675802325602,0.43515542693449766,0.0003385830124341313,0.06666220438543445,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.2,0.02,2,50,experiments/runs/20260511_170605_695449_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0_i0p2_e0p02_seed02,0.3048374232599642,30.483742325996424,0.4359473498312292,0.0004405440174260093,0.06627533709097504,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.2,0.02,3,50,experiments/runs/20260511_170605_860893_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0_i0p2_e0p02_seed03,0.3051138044668745,30.511380446687454,0.4356451575203079,0.00031624517168253445,0.06643452572325413,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.2,0.02,4,50,experiments/runs/20260511_170606_023457_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0_i0p2_e0p02_seed04,0.3057207344641445,30.57207344641445,0.43491081761788464,0.0004003933928646821,0.06665564161689756,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.2,0.02,5,50,experiments/runs/20260511_170606_186344_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0_i0p2_e0p02_seed05,0.30446471679088494,30.446471679088496,0.43375041259581143,0.0004947451266570727,0.06600470472282362,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.2,0.02,1,50,experiments/runs/20260511_170606_350217_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p2_e0p02_seed01,0.30566636198389785,30.566636198389787,0.4351596992384168,0.00033858342942888204,0.06666180771167117,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.2,0.02,2,50,experiments/runs/20260511_170606_512641_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p2_e0p02_seed02,0.3048381246190238,30.48381246190238,0.43594308089429573,0.000440543559739597,0.06627550323450175,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.2,0.02,3,50,experiments/runs/20260511_170606_677909_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p2_e0p02_seed03,0.30511363657612345,30.511363657612343,0.4356466370147924,0.00031624533689068873,0.06643450335795331,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.2,0.02,4,50,experiments/runs/20260511_170606_840497_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p2_e0p02_seed04,0.3057216795751365,30.57216795751365,0.43490627453572467,0.00040039416721938666,0.06665590141550352,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.2,0.02,5,50,experiments/runs/20260511_170607_001033_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p2_e0p02_seed05,0.3044659107468583,30.44659107468583,0.43374559516731487,0.000494745302601127,0.06600507016683616,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.2,0.08,1,50,experiments/runs/20260511_170607_163816_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p2_e0p08_seed01,0.3075490437748858,30.75490437748858,0.4348973216862337,0.0054168597830238484,0.06573634122021416,1
