toy,scenario,device,agent_count,epochs,seed,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,0,neural_policy,output_average,initial_state,0.048921042936854064
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,0,neural_policy,output_average,writer_setup,0.0005661069881170988
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,0,neural_policy,output_average,initial_step_result,0.004336628946475685
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,0,neural_policy,output_average,initial_aggregate_row,0.004887636983767152
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,0,neural_policy,output_average,write_initial_aggregate,0.00019383803009986877
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,sample_revision_mask,9.282701648771763e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,build_step_context,3.4566037356853485e-05
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,neural_context_peers,4.900037311017513e-06
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,build_observations,0.0012170650297775865
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,policy_readout,0.001537733944132924
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,decision_selection,0.0003484030021354556
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,local_training,0.07498973002657294
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,cache_refresh,0.0019196210196241736
toy2,neural_output_average,cpu,100,3,4,toy2_gpu_core_neural_output_average_100_cpu,1,neural_policy,output_average,post_local_readout,0.0007010429399088025
