label,recovery_rate,extraction_cost,coordination_mixer,coordination_peer_rule,alpha,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_mean_intensity,domain_final_intensity_variance,domain_final_mean_payoff,final_fragmentation_components
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.5,3,25,experiments/runs/20260511_164142_405257_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0p5_seed03,0.11904307705742084,11.904307705742085,0.22250440329044976,0.00032509125247547294,0.009087097313178867,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.5,4,25,experiments/runs/20260511_164142_487270_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0p5_seed04,0.11848126639218534,11.848126639218535,0.22056801384789526,0.0003808549778367125,0.00897568230124899,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.5,5,25,experiments/runs/20260511_164142_570027_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0p5_seed05,0.11824151288489489,11.824151288489489,0.2198656245770183,0.00047490942578370764,0.008901411052863118,1
toy7_resource_sweep_seeds01_05,0.02,0.5,none,none,0.0,1,25,experiments/runs/20260511_164142_656881_toy7_resource_sweep_seeds01_05_r0p02_c0p5_none_none_a0_seed01,0.20643455210635495,20.643455210635494,0.2539545122107408,0.000520322339867412,0.02107025626659408,100
toy7_resource_sweep_seeds01_05,0.02,0.5,none,none,0.0,2,25,experiments/runs/20260511_164142_698559_toy7_resource_sweep_seeds01_05_r0p02_c0p5_none_none_a0_seed02,0.20573648572858738,20.573648572858737,0.25727485909073605,0.00046779873086311505,0.020834757180043958,100
toy7_resource_sweep_seeds01_05,0.02,0.5,none,none,0.0,3,25,experiments/runs/20260511_164142_738327_toy7_resource_sweep_seeds01_05_r0p02_c0p5_none_none_a0_seed03,0.2065024377541178,20.65024377541178,0.2586095313985106,0.0003256989758079189,0.02107282729057343,100
toy7_resource_sweep_seeds01_05,0.02,0.5,none,none,0.0,4,25,experiments/runs/20260511_164142_778517_toy7_resource_sweep_seeds01_05_r0p02_c0p5_none_none_a0_seed04,0.20600725528844133,20.600725528844134,0.2568513341546077,0.00038036654342277275,0.020960268220025426,100
toy7_resource_sweep_seeds01_05,0.02,0.5,none,none,0.0,5,25,experiments/runs/20260511_164142_818233_toy7_resource_sweep_seeds01_05_r0p02_c0p5_none_none_a0_seed05,0.20605367356814167,20.605367356814167,0.2563224749486225,0.00047471705327191844,0.020938398111237936,100
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.0,1,25,experiments/runs/20260511_164142_857943_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0_seed01,0.20643455210635495,20.643455210635494,0.2539545122107408,0.000520322339867412,0.02107025626659408,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.0,2,25,experiments/runs/20260511_164142_917975_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0_seed02,0.20573648572858738,20.573648572858737,0.25727485909073605,0.00046779873086311505,0.020834757180043958,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.0,3,25,experiments/runs/20260511_164142_977309_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0_seed03,0.2065024377541178,20.65024377541178,0.2586095313985106,0.0003256989758079189,0.02107282729057343,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.0,4,25,experiments/runs/20260511_164143_038018_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0_seed04,0.20600725528844133,20.600725528844134,0.2568513341546077,0.00038036654342277275,0.020960268220025426,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.0,5,25,experiments/runs/20260511_164143_097788_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0_seed05,0.20605367356814167,20.605367356814167,0.2563224749486225,0.00047471705327191844,0.020938398111237936,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.25,1,25,experiments/runs/20260511_164143_167668_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0p25_seed01,0.2064209658304331,20.64209658304331,0.2539284550675691,0.0005201133483411164,0.02106741998439572,1
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.25,2,25,experiments/runs/20260511_164143_250877_toy7_resource_sweep_seeds01_05_r0p02_c0p5_output_average_output_similarity_a0p25_seed02,0.2057534915011429,20.575349150114288,0.25731029425945157,0.0004690972750787028,0.020837660209202014,1
