prior,learning,p0,epoch,seeds,coop_mean,policy_pre_mean,policy_local_mean,policy_social_mean,local_loss_mean,revised_local_loss_mean,revision_mean
match_p0,False,0.7,1,3,0.7066666666666667,0.6999998688697815,0.6999998688697815,0.6999998688697815,0.0,0.0,0.07666666666666667
match_p0,False,0.7,5,3,0.71,0.6999998688697815,0.6999998688697815,0.6999998688697815,0.0,0.0,0.09666666666666668
match_p0,False,0.7,10,3,0.7133333333333333,0.6999998688697815,0.6999998688697815,0.6999998688697815,0.0,0.0,0.09333333333333334
match_p0,False,0.7,25,3,0.6833333333333332,0.6999998688697815,0.6999998688697815,0.6999998688697815,0.0,0.0,0.11666666666666668
match_p0,False,0.7,50,3,0.73,0.6999998688697815,0.6999998688697815,0.6999998688697815,0.0,0.0,0.11
match_p0,True,0.5,0,3,0.48333333333333334,0.5,0.5,0.5,0.0,0.0,0.0
match_p0,True,0.5,1,3,0.49333333333333335,0.5,0.5001220007737478,0.5001220007737478,0.0306602096060911,0.40595619045036696,0.07666666666666667
match_p0,True,0.5,5,3,0.49333333333333335,0.5011434356371561,0.5008253256479899,0.5008253256479899,0.02183742215236023,0.2268700340583065,0.09666666666666668
match_p0,True,0.5,10,3,0.5033333333333333,0.5010708967844645,0.5007322033246359,0.5007322033246359,0.013843012105983933,0.15000382853634278,0.09333333333333334
match_p0,True,0.5,25,3,0.49,0.491559366385142,0.49049946665763855,0.49049946665763855,0.0031094297269980004,0.0310600361984646,0.11666666666666668
match_p0,True,0.5,50,3,0.54,0.475622296333313,0.475047081708908,0.475047081708908,-0.0018417435892236669,-0.022865532905870265,0.11
match_p0,True,0.6,0,3,0.5866666666666666,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.0,0.0,0.0
match_p0,True,0.6,1,3,0.59,0.6000000238418579,0.6001735726992289,0.6001735726992289,0.03408907386163867,0.4458789910008381,0.07666666666666667
match_p0,True,0.6,5,3,0.5866666666666667,0.6011683742205302,0.6012240648269653,0.6012240648269653,0.024909885594000366,0.2582040329235971,0.09666666666666668
match_p0,True,0.6,10,3,0.6,0.6022017002105713,0.6018965641657511,0.6018965641657511,0.0160633134686698,0.17282575719773466,0.09333333333333334
match_p0,True,0.6,25,3,0.58,0.5976828138033549,0.5973867774009705,0.5973867774009705,0.006013736679839533,0.058162171762920996,0.11666666666666668
match_p0,True,0.6,50,3,0.6366666666666667,0.5885111490885416,0.5883194406827291,0.5883194406827291,0.0009556369716301667,0.006494805339174567,0.11
match_p0,True,0.7,0,3,0.71,0.6999998688697815,0.6999998688697815,0.6999998688697815,0.0,0.0,0.0
match_p0,True,0.7,1,3,0.7066666666666667,0.6999998688697815,0.7003140449523926,0.7003140449523926,0.03461736669143037,0.44237017670235074,0.07666666666666667
match_p0,True,0.7,5,3,0.71,0.702228844165802,0.7027931412061056,0.7027931412061056,0.0246718771817783,0.2590606980470013,0.09666666666666668
match_p0,True,0.7,10,3,0.7133333333333333,0.7048989534378052,0.7049737771352133,0.7049737771352133,0.017064649173989865,0.1857327198976594,0.09333333333333334
match_p0,True,0.7,25,3,0.69,0.7070157527923584,0.7071737249692281,0.7071737249692281,0.0043056136804322,0.03484283960270847,0.11666666666666668
match_p0,True,0.7,50,3,0.7400000000000001,0.7107107043266296,0.7110649545987447,0.7110649545987447,0.0028519340418279005,0.021578096442370336,0.11
